"name" "type" "expected_age" "hdi_95" "lower_95_hdr" "upper_95_hdr" "agreement" "overall_agreement" "model_agreement" "modelname"
"C_Italy_neo" "model" NA NA NA NA NA NA NA "c_italy_neo"
NA "model" NA NA NA NA NA 91.6 93.8 "corsica_meso"
"Corsica_meso_start" "date" -8370.2021065898 585 -8624.5 -8039.5 NA NA NA "corsica_meso"
"39" "date" -7557.41141689822 395 -7744.5 -7349.5 99.8 NA NA "corsica_meso"
"113" "date" -6550.11121156786 365 -6759.5 -6394.5 100 NA NA "corsica_meso"
"130" "date" -6550.53257498796 370 -6764.5 -6394.5 99.9 NA NA "corsica_meso"
"131" "date" -6829.10742335642 450 -7049.5 -6599.5 100 NA NA "corsica_meso"
"132" "date" -8059.29519800551 500 -8284.5 -7784.5 99.7 NA NA "corsica_meso"
"133" "date" -8087.31194101681 480 -8294.5 -7814.5 99.6 NA NA "corsica_meso"
"183" "date" -6233.92726275372 325 -6394.5 -6069.5 87.2 NA NA "corsica_meso"
"184" "date" -6238.68803453043 325 -6399.5 -6074.5 88.4 NA NA "corsica_meso"
"185" "date" -6452.06255395236 380 -6634.5 -6254.5 100.6 NA NA "corsica_meso"
"186" "date" -7327.91712007651 445 -7524.5 -7079.5 100 NA NA "corsica_meso"
"187" "date" -7614.26980096372 560 -7934.5 -7374.5 99.8 NA NA "corsica_meso"
"242" "date" -7124.69190681194 675 -7454.5 -6779.5 100 NA NA "corsica_meso"
"541" "date" -6837.7037876561 455 -7054.5 -6599.5 100 NA NA "corsica_meso"
"542" "date" -6966.45045354187 650 -7309.5 -6659.5 100 NA NA "corsica_meso"
"543" "date" -7095.75456123711 735 -7444.5 -6709.5 100.1 NA NA "corsica_meso"
"544" "date" -7134.25537951149 630 -7454.5 -6824.5 100 NA NA "corsica_meso"
"545" "date" -7254.19016948144 420 -7479.5 -7059.5 100 NA NA "corsica_meso"
"546" "date" -7303.58440807603 430 -7509.5 -7079.5 100 NA NA "corsica_meso"
"547" "date" -7342.75879850972 455 -7534.5 -7079.5 99.9 NA NA "corsica_meso"
"548" "date" -7362.60235332502 490 -7574.5 -7084.5 100.1 NA NA "corsica_meso"
"549" "date" -7442.33727693912 400 -7589.5 -7189.5 99.7 NA NA "corsica_meso"
"550" "date" -8082.36870297233 480 -8294.5 -7814.5 99.6 NA NA "corsica_meso"
"778" "date" -8265.11666497293 505 -8469.5 -7964.5 85.7 NA NA "corsica_meso"
"801" "date" -6734.10128724962 530 -7029.5 -6499.5 99.9 NA NA "corsica_meso"
"Corsica_meso_phase" "model" NA NA NA NA NA NA NA "corsica_meso"
"Corsica_meso_end" "date" -6108.66318447836 475 -6344.5 -5869.5 NA NA NA "corsica_meso"
"Corsica_meso" "model" NA NA NA NA NA NA NA "corsica_meso"
NA "model" NA NA NA NA NA 90.4 93.3 "corsica_neo"
